idx,iso_utc,iso_ct,t,ticker,asset,side,price,mid,fairValue,edgeCents,yesBid,yesAsk,inventoryBefore,inventory,scenarioId,reason,centerMode,captureCents,realizedDelta,cashAfter,minutesLeft,fillSize,spot,strike,queueAhead,source,spread,fv_vs_mid_cents,price_vs_mid_cents
42,2026-09-24T00:15:18.792Z,2026-09-23 19:15:18.792 CT,1790208918792,KXNEAR15M-26SEP232030-30,NEAR,buy_yes,0.57,0.56,0.8042546913252333,20.925469132523332,0.57,0.62,0,1,house_mid,mid_walk,mid,0,0,99.43,14.6913,1,4.319,4.3053,,ui,5.000000000000004,24.425469132523325,0.9999999999999898
43,2026-09-24T00:16:57.297Z,2026-09-23 19:16:57.297 CT,1790209017297,KXETH15M-26SEP232030-30,ETH,sell_yes,0.76,0.765,0.6401909155799563,-9.480908442004365,0.72,0.76,0,-1,house_mid,taker_cross,mid,0,0,100.76,13.057016666666666,1,2688.34,2684.96,,ui,4.0000000000000036,-12.480908442004369,-0.5000000000000004
44,2026-09-24T00:17:11.380Z,2026-09-23 19:17:11.380 CT,1790209031380,KXNEAR15M-26SEP232030-30,NEAR,sell_yes,0.57,0.5449999999999999,0.9171677662001264,37.216776620012645,0.52,0.57,1,0,house_cover,book_depth,mid,0,0,100,12.81825,1,4.326,4.3053,0,ui,4.999999999999993,37.216776620012645,2.500000000000002
45,2026-09-24T00:17:26.344Z,2026-09-23 19:17:26.344 CT,1790209046344,KXSOL15M-26SEP232030-30,SOL,buy_yes,0.8,0.795,0.6867659986938145,-12.823400130618545,0.8,0.84,0,1,house_mid,taker_cross,mid,0,0,99.2,12.569933333333333,1,115.27,115.0775,,ui,3.9999999999999925,-10.823400130618555,0.5000000000000004
46,2026-09-24T00:17:40.409Z,2026-09-23 19:17:40.409 CT,1790209060409,KXNEAR15M-26SEP232030-30,NEAR,sell_yes,0.61,0.585,0.9212399375082848,33.62399375082848,0.56,0.61,0,-1,house_mid,book_depth,mid,0,0,100.61,12.330983333333334,1,4.326,4.3053,0,ui,4.999999999999993,33.62399375082848,2.500000000000002
47,2026-09-24T00:18:00.494Z,2026-09-23 19:18:00.494 CT,1790209080494,KXDOGE15M-26SEP232030-30,DOGE,buy_yes,0.83,0.83,0.8124430219309826,-3.255697806901736,0.83,0.87,0,1,house_mid,mid_walk,mid,0,0,99.17,11.997933333333334,1,0.09304,0.092764,,ui,4.0000000000000036,-1.7556978069017348,0.0
48,2026-09-24T00:26:12.568Z,2026-09-23 19:26:12.568 CT,1790209572568,KXDOGE15M-26SEP232030-30,DOGE,sell_yes,0.99,0.989,0.9546590746121221,-3.3840925387877863,0.97,0.99,1,0,house_cover,book_depth,mid,16.000000000000004,0.16000000000000003,100.16,3.8019833333333333,1,0.09306,0.092764,0,ui,2.0000000000000018,-3.434092538787792,0.10000000000000009
49,2026-09-24T00:27:01.776Z,2026-09-23 19:27:01.776 CT,1790209621776,KXNEAR15M-26SEP232030-30,NEAR,buy_yes,0.09,0.109,0.99,87.75,0.09,0.14,-1,0,house_cover,book_depth,mid,52,0.52,100.52,2.97925,1,4.326,4.3053,0,ui,5.000000000000002,88.1,-1.9000000000000004
50,2026-09-24T00:27:17.885Z,2026-09-23 19:27:17.885 CT,1790209637885,KXSOL15M-26SEP232030-30,SOL,sell_yes,0.99,0.986,0.9158430591007092,-6.9656940899290865,0.96,0.99,1,0,house_cover,book_depth,mid,18.999999999999993,0.18999999999999995,100.19,2.713766666666667,1,115.33,115.0775,0,ui,3.0000000000000027,-7.015694089929081,0.40000000000000036
51,2026-09-24T00:27:56.990Z,2026-09-23 19:27:56.990 CT,1790209676990,KXETH15M-26SEP232030-30,ETH,buy_yes,0,0.986,0.799115495696973,-18.988450430302695,0.97,0.99,-1,0,house_cover,taker_cross,mid,76,0.76,100.76,2.0558833333333335,1,2688.08,2684.96,,ui,2.0000000000000018,-18.688450430302694,-98.6
52,2026-09-24T00:28:00.992Z,2026-09-23 19:28:00.992 CT,1790209680992,KXBTC15M-26SEP232030-30,BTC,buy_yes,0.8,0.795,0.6364335022726524,-14.856649772734764,0.8,0.81,-1,0,flatten,taker_cross,mid,-17.000000000000004,-0.17000000000000004,99.83,1.9957666666666667,1,84385.55,84345.33,,ui,1.0000000000000009,-15.856649772734766,0.5000000000000004
